name,pageUrl,isActive,category,description,logo,getStarted,EITMLI18,shortDescription,url,useCases,isOpenSource,freeUrl,demoUrl
CSV,csv,TRUE,Data Format,"CSV (Comma-Separated Values) is a simple file format used to store tabular data, such as a spreadsheet or database.",https://www.svgrepo.com/show/375309/csv-document.svg,https://www.geeksforgeeks.org/working-csv-files-python/,"CSV is like a simple table format for data, where each line is a row and commas separate the columns, making it easy to exchange data between different programs.",A simple text format for storing tabular data.,https://en.wikipedia.org/wiki/Comma-separated_values,"- Data storage
- Data exchange
- Spreadsheet compatibility",TRUE,,
Parquet,parquet,TRUE,Data Format,Apache Parquet is a columnar storage file format designed for efficient data storage and retrieval.,https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/parquet.png,https://arrow.apache.org/docs/python/parquet.html,"Parquet is like a super-efficient filing cabinet for your data, storing it in a way that makes it quick to read and analyze, especially for large datasets.",A columnar storage file format optimized for use with big data processing frameworks.,https://parquet.apache.org,"- Big data storage
- Analytics
- Data warehousing",TRUE,,
Avro,avro,TRUE,Data Format,"Apache Avro is a data serialization system that provides rich data structures and a compact, fast, binary data format.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/avro.png,https://avro.apache.org/docs/1.12.0/getting-started-python/,"Avro is like a universal language for data, allowing you to define complex data structures and serialize them in a compact format that's easy for computers to process quickly.",A data serialization system providing rich data structures in a compact fast binary format.,https://avro.apache.org,"- Data serialization
- Big data processing
- Schema evolution",TRUE,,
ORC,orc,TRUE,Data Format,Apache ORC (Optimized Row Columnar) is a highly efficient columnar storage file format for Hadoop workloads.,https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_orc_logo_icon_167862.png,https://orc.apache.org/docs/pyarrow.html,"ORC is like a highly organized, space-saving container for your data, particularly good for storing and processing large amounts of data in Hadoop ecosystems.",A high-performance columnar storage file format for Hadoop workloads.,https://orc.apache.org,"- Columnar storage
- Big data analytics
- Data warehousing",TRUE,,
Snowflake,snowflake,TRUE,Data Warehouse,Snowflake is a cloud-based data warehousing platform that separates compute and storage for scalability and cost-effectiveness.,https://cdn.icon-icons.com/icons2/2699/PNG/512/snowflake_logo_icon_167979.png,https://quickstarts.snowflake.com/,"Snowflake is a cloud-based data warehouse that allows you to store and analyze large amounts of structured and semi-structured data, with the ability to scale computing resources independently of storage.",A cloud-based data warehousing platform with separated compute and storage.,https://www.snowflake.com,"- Data warehousing
- Big data analytics
- Cloud data platform",FALSE,https://signup.snowflake.com/,https://www.snowflake.com/en/contact/
Apache Hive,hive,TRUE,Data Warehouse,"Apache Hive is a data warehouse software project built on top of Apache Hadoop, providing a SQL-like interface.",https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_hive_logo_icon_167867.png,https://cwiki.apache.org/confluence/display/Hive/GettingStarted,"Hive provides a SQL-like interface to query data stored in various databases and file systems that integrate with Hadoop, making it easier to apply structure to large datasets.",A data warehouse software project built on Apache Hadoop with a SQL-like interface.,https://hive.apache.org,"- Big data querying
- Data warehousing
- ETL processing",TRUE,,
Google BigQuery,bigquery,TRUE,Data Warehouse,"BigQuery is a fully-managed, serverless data warehouse that enables super-fast SQL queries using the processing power of Google's infrastructure.",https://www.vectorlogo.zone/logos/google_bigquery/google_bigquery-icon.svg,https://cloud.google.com/bigquery/docs/quickstarts/query-public-dataset-console,"BigQuery is a powerful data warehouse that allows you to run SQL queries on massive datasets quickly, without needing to manage any infrastructure.","A serverless, highly scalable, and cost-effective multi-cloud data warehouse.",https://cloud.google.com/bigquery,"- Data warehousing
- Big data analytics
- Real-time analysis",FALSE,https://cloud.google.com/bigquery/pricing#free-tier,https://cloud.google.com/contact
AWS Redshift,redshift,TRUE,Data Warehouse,"Amazon Redshift is a fully managed, petabyte-scale data warehouse service in the cloud.",https://icon.icepanel.io/AWS/svg/Analytics/Redshift.svg,https://docs.aws.amazon.com/redshift/latest/gsg/new-user-serverless.html,"Redshift is a cloud-based data warehouse that allows you to analyze large volumes of data using your existing business intelligence tools, with fast query performance.","A fast, fully managed cloud data warehouse for analyzing all your data across your data warehouse and data lake.",https://aws.amazon.com/redshift,"- Data warehousing
- Business intelligence
- Big data analytics",TRUE,https://aws.amazon.com/redshift/free-trial/,https://aws.amazon.com/contact-us/
Apache Druid,druid,TRUE,Database,"Apache Druid is a high-performance, real-time analytics database designed for fast slice-and-dice analytics on large data sets.","https://open-metadata.org/_ipx/w_2048,q_75/%2Fassets%2Fservices%2Fdruid.webp?url=%2Fassets%2Fservices%2Fdruid.webp&w=2048&q=75",https://druid.apache.org/docs/latest/tutorials/,"Druid is a real-time analytics database that allows you to run fast, interactive queries on large datasets, especially useful for powering user-facing analytic applications.",A high-performance real-time analytics database for large datasets.,https://druid.apache.org,"- Real-time analytics
- Time series data
- OLAP",TRUE,,
PostgreSQL,postgresql,TRUE,Database,"PostgreSQL is a powerful, open-source object-relational database system. It's known for reliability, feature robustness, and performance.",https://www.postgresql.org/media/img/about/press/elephant.png,https://www.postgresqltutorial.com/,"PostgreSQL is a sophisticated database system that allows you to store, retrieve, and manage complex data structures efficiently, with support for advanced queries and transactions.",An advanced open-source relational database management system.,https://www.postgresql.org,"- Relational database
- ACID-compliant transactions
- Complex queries",TRUE,,
Apache Cassandra,cassandra,TRUE,Database,"Apache Cassandra is a highly scalable, high-performance distributed NoSQL database.",https://cdn.icon-icons.com/icons2/2699/PNG/512/apache_cassandra_logo_icon_170572.png,https://cassandra.apache.org/doc/latest/cassandra/getting_started/index.html,"Cassandra is a NoSQL database designed to handle large amounts of structured data across many commodity servers, providing high availability with no single point of failure.",A highly scalable high-performance distributed NoSQL database.,https://cassandra.apache.org,"- NoSQL database
- High availability
- Scalable data storage",FALSE,,
DuckDB,duckdb,TRUE,Database,"DuckDB is an in-process SQL OLAP database management system, designed to be fast and easy to use for analytical queries.",https://pbs.twimg.com/profile_images/1274363897676521474/qgbqYYuV_400x400.jpg,https://duckdb.org/docs/api/python/overview.html,"DuckDB is a lightweight, fast SQL database that runs within your application process, making it ideal for quick data analysis and processing without the need for a separate database server.",An embeddable SQL OLAP database management system optimized for analytical queries.,https://duckdb.org,"- In-process analytics
- Data science
- Embedded databases",TRUE,,
SQLite,sqllite,TRUE,Database,"SQLite is a C-language library that implements a small, fast, self-contained, high-reliability, full-featured, SQL database engine.",https://anturis.com/wp-content/uploads/2022/09/SQLite-Logo-1.png,https://www.sqlite.org/quickstart.html,"SQLite is like a mini database that lives right inside your application, perfect for when you need a reliable way to store and retrieve data without setting up a separate database server.","A lightweight, serverless, and self-contained SQL database engine.",https://www.sqlite.org,"- Embedded databases
- Local data storage
- Application file format",TRUE,,
Supabase,supabase,TRUE,Database;Storage;Query Engine,"Supabase is an open-source Firebase alternative providing all the backend features developers need to build a product: a Postgres database, Authentication, instant APIs, Edge Functions, Realtime subscriptions, and Storage.",https://seeklogo.com/images/S/supabase-logo-DCC676FFE2-seeklogo.com.png,https://supabase.com/docs/guides/getting-started,"Supabase is like a fully-equipped workshop for app developers, giving you all the tools you need to build the backend of your app quickly - database, user login, APIs, and more, all in one place.",An open-source Firebase alternative offering a complete backend solution with a Postgres database at its core.,https://supabase.com,"- Backend-as-a-Service
- Real-time databases
- Authentication",TRUE,https://supabase.com/pricing,https://forms.supabase.com/enterprise
ClickHouse,clickhouse,TRUE,Database; Data Warehouse,ClickHouse is an open-source column-oriented database management system for online analytical processing (OLAP) that allows generating analytical reports using SQL queries in real-time.,https://asset.brandfetch.io/idnezyZEJm/id_CPPYVKt.jpeg?updated=1684474240695,https://clickhouse.com/docs/en/getting-started/quick-start,"ClickHouse is a high-performance analytical database that allows you to run complex queries on large datasets very quickly, making it ideal for real-time data analysis and reporting.","An open-source, high performance columnar OLAP database management system.",https://clickhouse.com,"- OLAP
- Real-time analytics
- Big data processing",TRUE,https://clickhouse.com/cloud,https://clickhouse.com/company/contact
Terraform,terraform,TRUE,Infrastructure as Code,"Terraform is an open-source infrastructure as code software tool that enables you to safely and predictably create, change, and improve infrastructure.",https://cdn.icon-icons.com/icons2/2107/PNG/512/file_type_terraform_icon_130125.png,https://learn.hashicorp.com/terraform,"Terraform is like a blueprint for your cloud infrastructure, allowing you to define and manage your tech resources using code, making it easier to deploy and maintain complex systems.","An open-source infrastructure as code tool for building, changing, and versioning infrastructure safely and efficiently.",https://www.terraform.io,"- Infrastructure as Code
- Cloud resource management
- Multi-cloud deployment",FALSE,,
Pulumi,pulumi,TRUE,Infrastructure as Code,"Pulumi is an open-source infrastructure as code tool for creating, deploying, and managing cloud infrastructure using familiar programming languages.",https://www.pulumi.com/logos/brand/avatar-on-black.svg,https://www.pulumi.com/docs/get-started/,"Pulumi lets you use programming languages you already know to define and manage your cloud infrastructure, making it easier to create and maintain complex cloud systems.",An open-source infrastructure as code tool that uses real programming languages for deploying and managing cloud resources.,https://www.pulumi.com,"- Infrastructure as Code
- Cloud native development
- Multi-language support",TRUE,https://www.pulumi.com/pricing/,https://www.pulumi.com/request-a-demo/
Debezium,debezium,TRUE,Ingestion,"Debezium is an open source distributed platform for change data capture, built on top of Apache Kafka.",https://www.vectorlogo.zone/logos/debeziumio/debeziumio-icon.svg,https://debezium.io/documentation/reference/stable/tutorial.html,"Debezium is like a vigilant observer for your databases, instantly noticing and reporting any changes, which helps keep all your data systems in sync in real-time.",An open-source platform for change data capture based on Apache Kafka.,https://debezium.io,"- Change Data Capture
- Data integration
- Real-time data streaming",TRUE,,
Apache NiFi,nifi,TRUE,Ingestion,"Apache NiFi is designed to automate the flow of data between systems, supporting powerful and scalable directed graphs of data routing.",https://nifi.apache.org/images/apache-nifi-drop-logo.svg,https://nifi.apache.org/docs/nifi-docs/html/getting-started.html,"NiFi provides a web-based interface for designing, controlling, and monitoring a dataflow between systems, allowing you to automate data movement and transformation.",A platform designed to automate the flow of data between systems.,https://nifi.apache.org,"- Data ingestion
- Data transformation
- Data routing",TRUE,,
Talend,talend,TRUE,Ingestion,"Talend is a suite of cloud apps for data integration and data integrity, helping companies collect, govern, transform, and share data.","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mss7jl4fbxzgvuwbcv6h",https://www.talend.com/knowledge-center/,"Talend provides a suite of tools for data integration, allowing you to connect, transform, and manage data from various sources in a unified platform.",A suite of cloud apps for data integration and data integrity.,https://www.talend.com,"- Data integration
- ETL processes
- Data quality management",FALSE,https://www.qlik.com/us/trial/talend-data-fabric,https://www.talend.com/request-demo/
Fivetran,fivetran,TRUE,Ingestion,Fivetran is a fully managed data integration platform that helps users replicate data from various sources into data warehouses.,https://www.vectorlogo.zone/logos/fivetran/fivetran-icon.svg,https://fivetran.com/docs/getting-started,"Fivetran automates data integration from various sources into your data warehouse, handling the extraction and loading processes so you can focus on analysis.",An automated data integration service that synchronizes data from applications databases and file stores.,https://www.fivetran.com,"- Data integration
- ETL/ELT
- Data pipeline automation",FALSE,https://www.fivetran.com/pricing/free-plan,https://go.fivetran.com/demo
Stitch,stitch,TRUE,Ingestion,"Stitch is a cloud-first, open source platform for rapidly moving data.",https://www.stitchdata.com/images/og-site-icon.png,https://www.stitchdata.com/docs/getting-started/,Stitch is a cloud-based platform that helps you quickly and easily replicate data from various sources into your data warehouse for analysis.,A cloud-based platform for extracting transforming and loading (ETL) data.,https://www.stitchdata.com,"- Data integration
- ETL
- Data pipeline automation",TRUE,https://www.stitchdata.com/signup/,https://www.stitchdata.com/contact/
Mage,mage,TRUE,Ingestion,"Mage.ai is an open-source data pipeline tool for transforming and integrating data using Python, SQL, and R.",https://avatars.githubusercontent.com/u/69371472?s=200&v=4,https://docs.mage.ai/getting-started/setup,"Mage.ai is a modern data pipeline tool that allows you to build, run, and manage data workflows using familiar languages like Python and SQL, with features like data lineage and scheduling.",An open-source data pipeline tool for building ETL and ML workflows with code.,https://www.mage.ai,"- Data orchestration
- ETL/ELT
- Data pipeline development",TRUE,,
Airbyte,airbyte,TRUE,Ingestion,"Airbyte is an open-source data integration platform that helps you replicate data from applications, APIs, and databases to data warehouses, lakes, and other destinations.",https://seeklogo.com/images/A/airbyte-logo-CC005A0105-seeklogo.com.png,https://docs.airbyte.com/using-airbyte/getting-started/oss-quickstart,"Airbyte is a tool that helps you move data from various sources to your preferred destination, with a wide range of pre-built connectors and the ability to build custom ones.",An open-source data integration platform for ELT pipelines from APIs databases and files to warehouses and lakes.,https://airbyte.com,"- Data integration
- ETL/ELT
- Open-source data connectors",TRUE,https://airbyte.com/pricing,https://airbyte.com/company/talk-to-sales
Meltano,meltano,TRUE,Ingestion,"Meltano is an open source platform for building, running & orchestrating ELT pipelines.",https://hub.meltano.com/assets/static/meltano.73f0d34.f6f689a38b0fbf42dc9bfa55e539954a.png,https://docs.meltano.com/getting-started,"Meltano is an end-to-end DataOps platform that helps you set up and manage the entire data lifecycle, from extraction to transformation to analysis.",An open-source DataOps platform for the complete data lifecycle.,https://meltano.com,"- Data integration
- ELT
- DataOps",TRUE,,
Matillion,matillion,TRUE,Ingestion,Matillion Data Loader is a SaaS-based data integration tool that loads data from popular data sources into cloud data platforms.,https://yt3.googleusercontent.com/3-BKGTk4LOfkdsAZHp8gS-Iyo5L2BkN8uZYgp81CAGzTN8To2wvLfw0ZT2ROUAt2m1kkZNXqlHo=s160-c-k-c0x00ffffff-no-rj,https://www.matillion.com/docs/data-loader-getting-started/,"Matillion Data Loader is like a efficient conveyor belt, moving your data from various sources into your cloud data warehouse without you needing to write any code.",A SaaS-based data integration tool for loading data into cloud data platforms.,https://www.matillion.com,"- Data integration
- ETL/ELT
- Cloud data warehousing",FALSE,https://hub.matillion.com/register,https://www.matillion.com/request-demo
Rivery,rivery,TRUE,Ingestion,"Rivery is a SaaS platform for building end-to-end data pipelines, combining ETL, reverse-ETL, and data transformation capabilities.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a21ed36a-8964-4ff7-99c6-e7078ed0c34b.png?auto=format%2Ccompress&fit=max&w=96&q=75&ch=Width%2CDPR,https://docs.rivery.io/docs/start-here,"Rivery is like a Swiss Army knife for data operations, allowing you to collect, transform, and distribute data across your entire data stack with a user-friendly interface.",A cloud-native platform for building and managing data pipelines and workflows.,https://rivery.io,"- Data integration
- ETL/ELT
- Reverse ETL",FALSE,https://rivery.io/free-trial/,https://rivery.io/book-call/
Datuum,datuum,TRUE,Ingestion,"Datuum is a data quality and observability platform that helps teams monitor, alert, and resolve data quality issues.",https://datuum.ai/wp-content/themes/datuum/images/datuum-fav.png,https://datuum.ai/#getdemo,"Datuum is like a quality control inspector for your data, constantly checking for issues and alerting you when something's not right, helping ensure your data is always reliable and trustworthy.","A platform for monitoring, alerting, and resolving data quality issues across the entire data stack.",https://datuum.ai,"- Data quality monitoring
- Data observability
- Anomaly detection",FALSE,,https://datuum.ai/#getdemo
Informatica,informatica,TRUE,Ingestion,"Informatica is a comprehensive enterprise data integration and management platform, offering tools for data integration, quality, governance, and master data management.",https://images.contentstack.io/v3/assets/bltf2fca5bf44f5e817/blt56ff4c76be4b6769/654292efa7f5f10018700465/informatica-logo.png,https://www.informatica.com/products/cloud-data-integration.html,"Informatica is like a Swiss Army knife for enterprise data management, providing a wide range of tools to help large organizations collect, organize, clean, and use their data effectively across different systems and departments.","A comprehensive enterprise platform for data integration, quality, governance, and master data management.",https://www.informatica.com,"- Data integration
- Data quality
- Master data management",FALSE,https://www.informatica.com/free-data-integration.html,https://www.informatica.com/free-data-integration.html
Data Load Tool (DLT),dlt,TRUE,Ingestion,"dlthub is a modern data engineering platform that simplifies the process of building and managing data pipelines, with a focus on dbt integration and data quality.",https://cdn.sanity.io/images/nsq559ov/production/7f85e56e715b847c5519848b7198db73f793448d-82x25.svg?w=2000&auto=format,https://dlthub.com/docs/tutorial/intro,"dlthub is like a smart assistant for data engineers, helping you build, test, and deploy data pipelines more easily, with built-in support for dbt and tools to ensure your data is reliable and up-to-date.",A data engineering platform that streamlines the creation and management of data pipelines with dbt integration and data quality features.,https://dlthub.com,"- Data integration
- ETL pipelines
- Data quality",TRUE,,
Portable,portable,TRUE,Ingestion,Portable is a modern ELT platform that offers hundreds of pre-built connectors to sync data from various sources to data warehouses and data lakes.,"https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/shppofmvueo4mzwu9ehc",https://portable.io/learn,"Portable is like a universal adapter for your data, allowing you to easily connect and sync information from many different apps and databases into your central data storage, without needing to write complex code for each connection.",A no-code ELT platform with pre-built connectors for syncing data from various sources to data warehouses and lakes.,https://portable.io,"- Data integration
- ETL
- No-code connectors",FALSE,https://portable.io/pricing,https://portable.io/get-a-demo
Streamkap,streamkap,TRUE,Ingestion;Transformation,"Streamkap is a real-time data integration platform that enables continuous data replication and transformation (via apache Kafka and Flink) across databases, data warehouses, and data lakes.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/streamkap.png,https://docs.streamkap.com/docs/getting-started,"Streamkap is a platform that allows you to move and transform data in real-time between different systems, enabling you to keep your data synchronized across various databases and analytics platforms.",A real-time data integration platform for continuous data replication and transformation.,https://streamkap.com,"- Real-time data integration
- Data replication
- Streaming ETL",FALSE,https://app.streamkap.com/account/sign-up,https://streamkap.com/demo-request
Datacoves,datacoves,TRUE,Ingestion;Transformation,"Datacoves is a modern data development environment that integrates with dbt, Airflow, and other tools to streamline the entire data lifecycle.",https://pbs.twimg.com/profile_images/1662116534322438144/sG4Fphrx_400x400.png,https://github.com/datacoves/dbt-coves?tab=readme-ov-file#installation,"Datacoves is a platform that brings together various data tools and best practices, helping you manage your entire data workflow from development to deployment more efficiently.",An integrated platform for modern data stack development and operations.,https://datacoves.com,"- Data development environment
- DataOps
- Collaboration",FALSE,,https://datacoves.com/discover-datacoves
Java,java,TRUE,Language,"Java is a versatile, object-oriented programming language used for developing a wide range of applications, from web to enterprise software.",https://cdn.icon-icons.com/icons2/2415/PNG/512/java_original_logo_icon_146458.png,https://dev.java/learn/getting-started/,"Java is a powerful, general-purpose programming language that allows you to write code once and run it on any platform, making it ideal for building large-scale, robust applications.","A popular, versatile, and platform-independent programming language used in various domains.",https://www.java.com,"- Enterprise software development
- Android app development
- Web application backend",TRUE,,
SQL,sql,TRUE,Language,"SQL (Structured Query Language) is a standard language for storing, manipulating and retrieving data in relational databases.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/sql.png,https://www.w3schools.com/sql/sql_intro.asp,"SQL is the primary language used to interact with relational databases, allowing you to create, read, update, and delete data, as well as perform complex queries and data analysis.",A standard language for managing and querying relational databases.,https://aws.amazon.com/what-is/sql/,"- Database querying
- Data manipulation
- Data analysis",TRUE,,
Python,python,TRUE,Language,"Python is a high-level, interpreted programming language known for its simplicity and readability. It supports multiple programming paradigms and has a large standard library.",https://cdn.icon-icons.com/icons2/2699/PNG/512/python_logo_icon_168886.png,https://docs.python.org/3/tutorial/,"Python is like a Swiss Army knife for programming - it's versatile, easy to learn, and can be used for almost anything from web development and data analysis to artificial intelligence.","A versatile, high-level programming language widely used in data science, web development, and general-purpose programming.",https://www.python.org,"- Software Development
- Data analysis
- Machine learning",TRUE,,
SQLAlchemy,sqlalchemy,TRUE,Library,"SQLAlchemy is a comprehensive set of tools for working with databases in Python, including an ORM and a core SQL abstraction layer.",https://icon.icepanel.io/Technology/png-shadow-512/SQLAlchemy.png,https://docs.sqlalchemy.org/en/14/intro.html,"SQLAlchemy is a Python library that allows you to interact with databases using Python code instead of raw SQL, making it easier to work with databases in your applications.",A SQL toolkit and Object-Relational Mapping (ORM) library for Python.,https://www.sqlalchemy.org,"- ORM
- Database abstraction
- SQL generation",TRUE,,
Polars,polars,TRUE,Library;Transformation; Query Engine,"Polars is a fast multi-threaded DataFrame library implemented in Rust, with a Python front-end.",https://pola.rs/favicon.svg,https://docs.pola.rs/user-guide/getting-started/,"Polars is a high-performance data manipulation library that allows you to process large datasets quickly using multiple CPU cores, with an intuitive API similar to Pandas but with better performance for large datasets.","A fast, multi-threaded DataFrame library for efficient data processing in Python and Rust.",https://www.pola.rs,"- High-performance data manipulation
- Data analysis
- Large dataset processing",TRUE,,
Pandas,pandas,TRUE,Library;Transformation;Query Engine,"Pandas is a fast, powerful, flexible and easy to use open source data analysis and manipulation tool, built on top of Python.",https://pandas.pydata.org/static/img/pandas_mark_white.svg,https://pandas.pydata.org/docs/getting_started/index.html,"Pandas is a Python library that provides high-performance, easy-to-use data structures and data analysis tools, allowing you to manipulate and analyze structured data efficiently.",A Python library for data manipulation and analysis with DataFrame structures.,https://pandas.pydata.org,"- Data manipulation
- Data analysis
- Time series analysis",TRUE,,
Amazon DMS,dms,TRUE,Migration,Amazon Database Migration Service (DMS) helps you migrate databases to AWS quickly and securely.,https://icon.icepanel.io/AWS/svg/Database/Database-Migration-Service.svg,https://docs.aws.amazon.com/dms/latest/userguide/CHAP_GettingStarted.SettingUp.html,"Amazon DMS is like a moving company for your data, helping you transfer your databases to the AWS cloud quickly and safely, with minimal downtime.",A cloud service for migrating databases to AWS quickly and securely.,https://aws.amazon.com/dms,"- Database migration
- Data replication
- Schema conversion",FALSE,https://aws.amazon.com/dms/pricing/,https://aws.amazon.com/contact-us/
Metaplane,metaplane,TRUE,Observability,"Metaplane is a data observability platform that helps data teams monitor the health and quality of their data pipelines, detect anomalies, and prevent data issues.",https://asset.brandfetch.io/idZRN0Azs7/idVNPufMVy.svg?updated=1684835443623,https://docs.metaplane.dev/docs/getting-started,"Metaplane is like a health monitor for your data systems, constantly checking vital signs, alerting you to anomalies, and helping you diagnose and fix issues before they cause problems for your business.","A data observability platform for monitoring data quality, detecting anomalies, and preventing data downtime.",https://www.metaplane.dev,"- Data observability
- Data quality monitoring
- Anomaly detection",FALSE,https://www.metaplane.dev/pricing,https://www.metaplane.dev/book-a-demo
